"","quant","mean","quant05","quant95"
"1",0,1948.67868936799,1907.73453702669,1978.66400181709
"2",0.05,1917.86224191425,1871.5930483818,1954.15599590147
"3",0.1,1884.71069835685,1835.0838453588,1924.4172587455
"4",0.15,1851.12902584186,1799.35085292186,1893.80986752139
"5",0.2,1813.77359443022,1756.65903319655,1861.83538708368
"6",0.25,1770.7478672482,1708.90562226004,1824.67593349637
"7",0.3,1713.72397836514,1645.01065919592,1777.02101176659
"8",0.35,1638.03535940851,1555.93114341872,1712.60583784671
"9",0.4,1544.09624319751,1448.90779112127,1624.26457122005
"10",0.45,1454.01163252442,1355.7783032015,1540.07390004341
"11",0.5,1369.87539257478,1273.41863897065,1459.55379873586
"12",0.55,1282.61212293858,1186.00081313133,1377.55603739005
"13",0.6,1183.95323438783,1077.33864418442,1281.51366654084
"14",0.65,1077.78315473883,963.443747381524,1183.21157232982
"15",0.7,963.49607629346,849.208593973531,1076.2255023139
"16",0.75,851.505890938044,734.854157466845,964.441603976313
"17",0.8,734.51244954485,621.915182558265,851.988637202311
"18",0.85,615.116257659769,491.8569312557,738.95749522834
"19",0.9,395.525210265892,240.314316707244,574.956617656287
"20",0.95,173.08086327953,82.0083041477186,350.577572648799
"21",1,113.215599382576,54.2159121632932,208.603665791672
