id,CV_donate_yes,CV_donate_bid
318,1,25
5036,0,25
637,1,25
1496,0,25
1154,0,25
847,1,25
298,1,25
2218,1,25
1049,0,25
909,1,25
684,1,25
245,1,25
278,1,25
1865,1,25
4294,0,25
937,1,25
621,1,25
3061,0,25
365,0,25
1321,0,25
1158,0,25
1026,0,25
463,0,25
3138,0,25
3863,1,25
4222,1,25
3852,0,25
817,0,25
3882,1,25
1070,0,25
1694,1,25
715,0,25
221,1,25
1118,1,25
4118,0,25
910,0,25
2746,0,25
1213,1,25
2836,1,25
1152,0,25
3889,0,25
30,1,25
642,1,25
312,1,25
1171,0,25
4028,0,25
1395,1,25
3120,0,25
149,1,25
118,1,25
1450,1,25
1121,0,25
4050,0,25
498,0,25
524,0,25
671,1,25
1454,1,25
213,1,25
675,0,25
1491,1,25
3048,0,25
974,0,25
924,0,25
579,1,25
1006,0,25
1314,0,25
2974,1,25
3874,0,25
982,1,25
54,1,25
1095,0,25
100,0,25
1438,1,25
265,1,25
932,0,25
3268,0,25
2651,0,25
780,0,25
1405,1,25
2790,1,25
1337,1,25
151,0,25
1212,0,25
827,0,25
1153,0,25
2789,0,25
645,1,25
1629,1,25
3905,1,25
467,0,25
435,1,25
2645,0,25
23,1,25
1514,0,25
805,0,25
2516,0,25
1131,0,25
582,0,25
1421,0,25
1516,0,25
998,1,25
3343,1,25
962,0,25
193,1,25
3311,1,25
3936,0,25
413,1,25
113,1,25
2801,0,50
592,1,50
911,0,50
963,1,50
2655,0,50
1178,0,50
390,1,50
657,1,50
2628,0,50
340,1,50
796,0,50
164,0,50
167,1,50
1169,0,50
3212,0,50
1292,0,50
1042,1,50
1189,0,50
1102,0,50
3861,0,50
1104,0,50
393,1,50
184,0,50
1209,0,50
3029,1,50
271,1,50
2798,1,50
289,1,50
1529,0,50
56,1,50
2980,0,50
2911,1,50
1220,0,50
1167,0,50
586,0,50
655,0,50
3089,0,50
466,0,50
130,1,50
3012,1,50
2745,0,50
1065,0,50
1436,0,50
61,1,50
3118,0,50
3131,0,50
179,1,50
1442,1,50
131,0,50
846,0,50
1351,1,50
1017,0,50
3078,0,50
1046,0,50
1300,1,50
195,1,50
5100,0,50
1202,0,50
633,0,50
927,1,50
1672,0,50
938,0,50
79,1,50
1151,0,50
96,1,50
2959,0,50
1133,0,50
3456,0,50
446,1,50
1354,1,50
249,1,50
1692,1,50
295,0,50
210,1,50
708,0,50
1223,0,50
1051,0,50
4055,0,50
108,0,50
1429,1,50
1138,1,50
822,1,50
668,0,50
2773,0,50
631,1,50
214,1,50
3878,0,50
444,0,50
2935,0,50
776,1,50
930,0,50
3885,0,50
60,0,50
1332,0,50
3301,0,50
1061,0,50
1831,0,50
986,0,50
4157,1,50
337,0,50
527,1,50
510,0,50
2638,0,50
163,1,100
602,0,100
453,0,100
1030,0,100
720,1,100
1097,0,100
2782,1,100
4885,1,100
654,0,100
667,0,100
404,1,100
1002,0,100
1141,1,100
1747,1,100
1124,0,100
3658,0,100
1077,0,100
1301,0,100
2964,1,100
2794,0,100
236,1,100
3039,0,100
2752,1,100
2485,0,100
1081,1,100
5072,1,100
952,0,100
330,1,100
856,0,100
933,0,100
850,1,100
979,0,100
807,0,100
649,0,100
1127,0,100
1294,1,100
3780,1,100
1677,0,100
1413,0,100
2649,0,100
1410,0,100
428,0,100
1462,1,100
3284,0,100
2643,0,100
290,1,100
1527,0,100
1512,1,100
3009,0,100
486,1,100
3915,0,100
1166,1,100
3949,1,100
2740,1,100
3893,1,100
24,1,100
1377,1,100
2823,0,100
977,0,100
1146,0,100
635,1,100
1174,0,100
787,0,100
207,1,100
1639,0,100
820,0,100
47,0,100
493,1,100
1823,1,100
172,1,100
3881,1,100
465,1,100
1482,0,100
4008,0,100
229,1,100
659,1,100
902,0,100
3205,0,100
4076,0,100
222,1,100
3096,0,100
1149,0,100
936,1,100
1216,0,100
174,1,100
3907,0,100
2913,1,100
3866,0,100
2855,1,100
1333,0,100
3313,0,100
1459,0,100
1136,0,100
2744,0,100
2783,0,100
243,1,100
921,0,100
468,0,100
259,1,100
3331,1,100
973,0,100
194,1,100
1134,0,100
438,1,100
304,1,100
3054,0,100
125,0,100
76,1,100
1743,1,100
1477,0,100
353,1,100
639,1,100
3868,0,100
26,1,100
901,0,250
