"","quant","mean","quant05","quant95"
"1",0,1775.20453186474,1631.89945267844,1880.94178445124
"2",0.05,1552.51953127947,1375.94766331772,1748.05112644013
"3",0.1,1411.69787505125,1168.59396896602,1596.19493505952
"4",0.15,1119.37220229196,983.238345397196,1276.65113282426
"5",0.2,1028.95443911502,901.980004604816,1154.46341529416
"6",0.25,952.416332041081,841.525482582445,1070.927111209
"7",0.3,881.945407132067,776.319568608877,991.54097584476
"8",0.35,819.149996114425,709.513063817054,919.095573763295
"9",0.4,757.414954201164,647.946435034366,857.089461374769
"10",0.45,690.094796850597,583.534412900762,793.449729995785
"11",0.5,624.605633187901,515.431281569427,736.328766866519
"12",0.55,547.962352829645,434.911114758764,664.201428224503
"13",0.6,410.268874615199,280.292561525643,542.982974592062
"14",0.65,272.931399968417,194.907957143442,382.762434716504
"15",0.7,204.602006740316,144.257732049259,281.248370155578
"16",0.75,160.839395174128,113.308491565951,225.591810774132
"17",0.8,130.586176412522,90.3667637752465,184.080038082609
"18",0.85,104.816883661601,68.8492664977106,148.929698030716
"19",0.9,83.1290845828071,51.6908375392808,124.642843916548
"20",0.95,61.6999999323268,35.8713293966228,102.712654626846
"21",1,46.697534871792,25.4156073516485,82.4817848696235
