"","quant","mean","quant05","quant95"
"1",0,1867.01539023494,1750.12618172625,1935.67176214571
"2",0.05,1706.83347269521,1540.5388864374,1870.0338639298
"3",0.1,1494.6966242894,1333.63016612392,1680.55180585596
"4",0.15,1341.59646156924,1215.58056542456,1471.60384020494
"5",0.2,1228.40275891863,1106.18771546495,1349.1408828922
"6",0.25,1114.46586129647,993.649215887864,1231.09490260367
"7",0.3,1002.20324684136,880.259697827968,1119.24443350512
"8",0.35,890.16369877055,771.170941248929,1011.40862477182
"9",0.4,773.026755928857,661.922465340341,887.364437449917
"10",0.45,667.704920249365,564.446497359714,776.408787140544
"11",0.5,584.202751377001,487.018477586469,692.616212919026
"12",0.55,509.41908958224,416.49671772132,616.06079357215
"13",0.6,425.542172580565,341.157250263149,521.769967182061
"14",0.65,329.192843450597,250.780713408017,417.638871530043
"15",0.7,251.924981036546,188.173294262679,323.953433402482
"16",0.75,200.029246425814,148.409795482314,260.837904988014
"17",0.8,165.023233818536,120.603207078115,218.551514717329
"18",0.85,135.297814945358,96.3657370035411,184.802786944144
"19",0.9,107.77815799205,73.0617734436238,153.243991825889
"20",0.95,82.4238458145375,50.9729593040402,125.325970446495
"21",1,58.645533604767,32.413905421645,97.4179999932702
