Durationinseconds,LocationLatitude,LocationLongitude,ResponseID,id,hav_gender,male,female,gender_nonbinary,hav_age,age,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_75_plus,age_85_plus,age_34_less,age_35_54,age_55_plus,hav_hh_income,hh_income,hh_income_less_25k,hh_income_25k_35k,hh_income_35k_50k,hh_income_50k_75k,hh_income_75k_100k,hh_income_100k_150k,hh_income_150k_200k,hh_income_200k_plus,hh_income_less_50k,hh_income_50k_100k,hh_income_100k_plus,consent,honest,USA,state,hav_region,region_west,region_northeast,region_midwest,region_south,res_Hawaii,strat,fpc,pw,ZIP,province_Canada,ZIP_Canada,state_Australia,state_NewZealand,pastvisit_state_hawaii,visited_Maui,visited_Oahu,visited_BigIsland,visited_Kauai,visited_Molokai,visited_Lanai,futurevisit_state_hawaii,yes_futurevisit_state_hawaii,maybe_futurevisit_state_hawaii,futurevisit_Maui,futurevisit_Oahu,futurevisit_BigIsland,futurevisit_Kauai,futurevisit_Molokai,futurevisit_Lanai,futurevisit_not_sure,WhyTravelNo,WhyTravelMaybe,worried_covid_travel,other_travel_plans,do_not_make_plans_far_advance,worried_waiting_conditions,worried_waiting_vaccine,res_island,hav_FamiliarTNC,FamiliarTNC_Mission,levels_familarityTNC,NeverHeardTNC,HeardTNC_NotMission,SomewhatFamiliarTNC,FamiliarTNC_VisitedLands,levels_prev_donateTNC,prev_donateTNC,donateTNC_once,donateTNC_few,donateTNC_regularly,donateTNC_monthly,donateTNC_annually,prevTNC_amt_donate,prev_visitWaikamoi_Yes,prev_visitWaikamoi_No,prev_visitWaikamoi_NotSure,year_visit_Waikamoi,PrevKnowledge_Biodiversity,PrevKnowledge_Plants,PrevKnowledge_Kiwikiu,PrevKnowledge_Akoh,PrevKnowledge_HPetrel,PrevKnowledge_HOwl,PrevKnowledge_Nene,PrevKnowledge_Iiwi,PrevKnowledge_Apapane,PrevKnowledge_Amakihi,PrevKnowledge_Alauahio,PrevKnowledge_ROD,PrevKnowledge_Issues,PrevKnowledge_Invasives,PrevKnowledge_BiodiversityLoss,PrevKnowledge_AvianPox,PrevKnowledge_Waikamoi,CV_donate_yes,CV_donate_bid,CV_donate_certain,CV_NOTdonate_certain,CV_donate_amt,CV_protest,CV_not_afford,CV_othercauses,AwareHike,SignUpHike,SignUpHikeYes,SignUpHikeMaybe,No_SignUpHike_Birds,No_SignUpHike_WaterSports,No_SignUpHike_NoHike,cat_birds_observe,sea_shore_birds,waterfowl_birds,song_birds,humming_birds,raptor_birds,game_birds,tropical_birds,lister,life_lister,year_lister,hav_trip_100mi,trip_100mi_plus_more_monthly,trip_100mi_plus_monthly,trip_100mi_plus_quarterly,trip_100mi_plus_semi_yearly,trip_100mi_plus_once_year,trip_100mi_plus_once_twoyears,yes_freq_trip_100mi_plus,hav_dest,dest_driving,dest_fly,obsr_other,obsr_plants,obsr_bees,obsr_butterflies,obsr_dragonflies,obsr_otherwildlife,obsr_few_otherbirders,obsr_more_otherbirders,obsr_vistas,obsr_forests,obsr_freshwater,obsr_saltwater,obsr_fields,believeTNC,believeTNC_fully,TNC_level_protect_enough,society_level_protect_enough,hav_member,member_env_org,TNC_member,SierraClub_member,Audubon_member,ABA_member,Cornell_member,NWF_member,WWF_member,hav_politics,conservative_politics,hav_race,race_white,race_black,race_asian,race_indigenous,hav_hispanic,hispanic,hav_edu,edu_hs,edu_hs_orless,edu_aa,edu_college,edu_grad,edu_college_plus,edu_less_thancollege,hav_employed,employed,retired,looking_work,unemployed,part_time,household_size,hav_kids,kids,yes_kids,hav_married,married,levels_usage_Facebook,levels_usage_Instagram,levels_usage_Twitter,levels_usage_socialmedia,ag_levels_usage_socialmedia,socialmedia_user,pct_covid_hh_income_change,CV_donate_no,tot_yes,tot_no,prop_CV_donate_yes_full,tot_yes_certain,tot_no_certain,prop_CV_donate_yes_certain,CV_donate_pos
1534,21.298401,-157.6962,R_5pSIvjZ1zpyVm6J,992,1,1,0,0,1,40,0,0,1,0,0,0,0,0,0,0,1,0,0,200,0,0,0,0,0,0,0,1,0,0,1,1,1,1,12,1,1,0,0,0,Hawai'i Res.,2,1420491,5704.7832,96825,,,,,,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,,,0,0,0,0,0,2,1,1,3,0,0,1,0,1,0,0,0,,0,0,0,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,25,1,1,25,,0,0,0,1,1,0,0,0,0,"1,5,7",1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,3,1,0,0,1,0,3,4,3,4,2,1,0,0,55,60,.47826087,53,60,.46902654,1
1360,41.038498,-81.563797,R_1dgohS3C5KOBNgQ,666,1,1,0,0,1,50,0,0,0,1,0,0,0,0,0,0,1,0,0,30,0,1,0,0,0,0,0,0,1,0,0,1,1,1,36,1,0,0,1,0,Non-Hawai'i Res.,1,325746944,417089.56,44313,,,,,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,,3,0,0,0,1,0,,1,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,1,0,,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,25,1,1,0,,1,0,0,1,0,1,0,0,1,"3,5,6,7",0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,-22.5,1,55,60,.47826087,53,60,.46902654,0
2109,33.941605,-80.320297,R_115zy5p1eKPUieK,744,1,1,0,0,1,30,0,1,0,0,0,0,0,0,0,1,0,0,0,30,0,1,0,0,0,0,0,0,1,0,0,1,1,1,42,1,0,0,0,1,Non-Hawai'i Res.,1,325746944,417089.56,29102,,,,,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,,1,1,0,0,0,0,,1,1,3,0,0,1,0,1,0,0,0,,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,25,1,1,25,,0,0,1,1,1,0,0,0,0,"6,7",0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,"1,6,8,9,10",1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,3,1,1,1,1,1,7,7,7,7,5,1,-10,0,55,60,.47826087,53,60,.46902654,1
986,33.173401,-94.968803,R_2VyCh5AGpMvjdj3,399,1,0,1,0,1,60,0,0,0,0,1,0,0,0,0,0,0,1,0,87.5,0,0,0,0,1,0,0,0,0,1,0,1,1,1,45,1,0,0,0,1,Non-Hawai'i Res.,1,325746944,417089.56,75455,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,0,1,0,0,,1,1,3,0,0,1,0,1,0,0,0,,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,25,1,1,0,,1,0,1,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,6,1,1,6,4,1,-67.5,1,55,60,.47826087,53,60,.46902654,0
964,41.897202,-87.619598,R_Y9ow10qV0E7Mkff,416,1,0,1,0,1,50,0,0,0,1,0,0,0,0,0,0,1,0,0,25,1,0,0,0,0,0,0,0,1,0,0,1,1,1,14,1,0,0,1,0,Non-Hawai'i Res.,1,325746944,417089.56,60446,,,,,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,,,0,0,0,0,0,,1,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,1,25,,0,0,0,1,1,0,0,0,0,"2,3,7",0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,"1,3,5,8",1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,5,1,2,1,1,0,7,7,4,7,5,1,0,0,55,60,.47826087,53,60,.46902654,1
1160,21.298401,-157.6962,R_1gOAbzuauhz2em2,944,1,0,1,0,1,50,0,0,0,1,0,0,0,0,0,0,1,0,0,125,0,0,0,0,0,1,0,0,0,0,1,1,1,1,12,1,1,0,0,0,Hawai'i Res.,2,1420491,5704.7832,96825,,,,,,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,,,0,0,0,0,0,2,1,1,3,0,0,1,0,1,0,0,0,,0,0,0,0,1,0,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25,1,1,25,,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,4,1,1,1,1,0,3,2,3,3,2,1,-10,0,55,60,.47826087,53,60,.46902654,1
874,41.828903,-88.1884,R_3k7azc0zxpjVfXJ,407,1,1,0,0,1,50,0,0,0,1,0,0,0,0,0,0,1,0,0,25,1,0,0,0,0,0,0,0,1,0,0,1,1,1,14,1,0,0,1,0,Non-Hawai'i Res.,1,325746944,417089.56,60185,,,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,2,1,0,0,0,0,,1,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,1,0,,1,0,0,1,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,2,1,0,0,1,0,5,1,1,5,3,1,10,1,55,60,.47826087,53,60,.46902654,0
1184,29.922501,-95.061501,R_recRobyAYxepr8t,118,1,1,0,0,1,40,0,0,1,0,0,0,0,0,0,0,1,0,0,200,0,0,0,0,0,0,0,1,0,0,1,1,1,1,45,1,0,0,0,1,Non-Hawai'i Res.,1,325746944,417089.56,77001,,,,,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,,0,0,0,0,0,,1,1,4,0,0,0,1,4,1,0,0,1,1,0,0,1,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,25,1,1,25,,0,0,1,1,1,0,0,0,0,"1,2,3,5,6",1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,"1,3,4,7,9,10,11",1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,4,1,2,1,1,0,6,7,6,7,5,1,52.5,0,55,60,.47826087,53,60,.46902654,1
629,29.682495,-82.360603,R_2ZKoXye9F4IllYf,1030,1,0,1,0,1,50,0,0,0,1,0,0,0,0,0,0,1,0,0,25,1,0,0,0,0,0,0,0,1,0,0,1,1,1,10,1,0,0,0,1,Non-Hawai'i Res.,1,325746944,417089.56,32615,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,,2,1,0,0,0,0,,1,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,1,25,,0,0,0,0,0,0,0,0,1,"3,4",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,2,1,1,1,1,1,1,4,1,4,2,1,-37.5,0,55,60,.47826087,53,60,.46902654,1
752,41.376999,-81.658798,R_3h5uoVYJ4fAIW5d,435,1,0,1,0,1,50,0,0,0,1,0,0,0,0,0,0,1,0,0,62.5,0,0,0,1,0,0,0,0,0,1,0,1,1,1,36,1,0,0,1,0,Non-Hawai'i Res.,1,325746944,417089.56,44131,,,,,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,1,1,2,0,1,0,0,2,1,1,0,0,0,0,25,0,0,1,,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,25,1,1,0,,1,0,0,1,0,1,0,0,1,"3,4,6,7",0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,11,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,2,1,0,0,1,0,5,4,4,5,3,1,0,1,55,60,.47826087,53,60,.46902654,0
