"hh_income","age","female","mean_wtp","lower","upper"
25,20,0,858.633960065349,548.967591047486,1174.78117899529
25,20,1,561.018991895408,304.66543444713,896.49909750897
25,30,0,929.710127303044,629.917967912553,1226.90919020423
25,30,1,578.915297733282,357.439123205143,846.705341852737
25,40,0,868.420364743884,554.237900354142,1196.47297975573
25,40,1,497.859709717653,291.152964882894,743.404613389926
25,50,0,417.565072362418,188.828432261934,734.337926920294
25,50,1,320.233008348365,151.178829587103,558.624334361812
25,60,0,197.819401552157,73.8936668613784,395.114550286101
25,60,1,180.397653792951,79.1593854832761,341.438579151892
25,70,0,106.13746951075,31.2665211785587,254.105007203082
25,70,1,107.495704497492,41.4438588927898,228.63224279077
25,80,0,109.364913657552,28.5383791547874,280.422446419197
25,80,1,129.56154671135,36.662452393119,315.157088972689
30,20,0,903.500437447689,605.969084261881,1205.87466451846
30,20,1,581.799342248911,316.155488718453,928.291629838884
30,30,0,974.690297080781,684.270892179912,1277.70066664523
30,30,1,605.623671016191,355.562057595948,921.008475333191
30,40,0,912.043725694208,598.081319272675,1236.72870209864
30,40,1,509.229000795258,288.513211638574,797.414662045804
30,50,0,449.243179132046,206.103370744519,785.099130273257
30,50,1,326.972724455524,156.4538544908,587.301480790842
30,60,0,209.159916613932,80.808297490248,417.099658112804
30,60,1,179.464362772883,75.5028698808321,345.830969400386
30,70,0,111.104115568768,36.3847477948324,248.472651518006
30,70,1,111.814995340493,44.3919694528334,236.168270103748
30,80,0,117.663085888967,31.8138006303001,288.26065820797
30,80,1,137.196469558962,42.2160318808415,319.637569395378
30,85,1,123.396587090471,37.2496192536512,292.709074005266
42.5,20,0,916.217117086576,605.189647214453,1237.91311535254
42.5,20,1,531.553949050683,292.691691639142,824.325749187655
42.5,30,0,994.038831256535,710.789551172884,1275.9014326739
42.5,30,1,562.442320452467,337.646959815324,825.941786147468
42.5,40,0,943.605219405688,634.908188792357,1261.95318097733
42.5,40,1,500.086458561578,292.476100814644,763.971829714385
42.5,50,0,457.242088400081,229.019399342567,756.667259827105
42.5,50,1,296.741290839331,148.170285098454,508.117570039759
42.5,60,0,217.158366742762,85.7646438952257,426.433861364865
42.5,60,1,162.673963434861,72.8913209031922,309.691598892982
42.5,70,0,113.520541360777,39.7198140177862,245.45840309495
42.5,70,1,105.138986139066,43.539949825127,212.078854273595
42.5,80,0,125.417907234339,34.0921451937542,307.340747373521
42.5,80,1,116.963410285452,35.6366141528161,271.351235415362
62.5,20,0,1072.89587571456,790.33709300252,1341.32275089747
62.5,20,1,567.465933453563,340.335424833854,847.50865057937
62.5,30,0,1164.21414832618,912.390873537975,1403.36271937032
62.5,30,1,609.951960202688,401.21040731397,851.803870233464
62.5,40,0,1106.40800589979,814.890470260151,1381.42915488866
62.5,40,1,547.854021127532,337.934681798316,808.05649508287
62.5,50,0,583.416380986061,319.245676775424,889.446003672212
62.5,50,1,328.489775410307,176.546893714934,532.773255222574
62.5,60,0,286.639199327691,125.935038079517,513.09768145074
62.5,60,1,176.24961803804,82.8627261506319,312.38039136364
62.5,70,0,157.761801017967,58.5032184792572,314.990624251284
62.5,70,1,109.869925996219,48.1294454023527,211.913205414391
62.5,80,0,168.499791199832,52.9625002544787,383.120911134959
62.5,80,1,127.009279033673,41.6895382852278,279.488059896687
62.5,85,0,168.499791199832,52.9625002544787,383.120911134959
87.5,20,0,1202.86906933753,866.992801788949,1512.53632018244
87.5,20,1,616.300962621401,362.461409631396,917.433454116504
87.5,30,0,1323.48745121332,1059.68262848126,1567.24816766771
87.5,30,1,704.084549062184,454.914855831814,999.7514336467
87.5,40,0,1270.55901317779,1016.93637867645,1514.4791163943
87.5,40,1,623.019328306901,394.5868444709,901.348844066133
87.5,50,0,755.764902402068,431.695611442322,1108.19879342801
87.5,50,1,400.728997584589,212.077421705413,661.599275973976
87.5,60,0,386.792997521599,187.14347953351,646.847779025047
87.5,60,1,219.220000037704,100.132195208875,393.435321556112
87.5,70,0,224.242992405038,89.2735372252015,427.671155988773
87.5,70,1,143.282949730242,61.5073183823079,274.380336411128
87.5,80,0,234.734055106113,74.685881299012,502.031639464368
87.5,80,1,152.099532502392,49.803675835002,335.771800912271
125,20,0,1245.52707245517,890.011059078864,1539.3124999208
125,20,1,622.556358979421,356.312103372932,924.748989867349
125,30,0,1383.941269664,1117.3993755738,1618.13657425779
125,30,1,711.837475442436,461.43165732195,996.583747720119
125,40,0,1348.68189064464,1104.119605639,1581.62284439764
125,40,1,640.521384240027,422.267471699339,899.532476463084
125,50,0,800.661395576427,515.015038180335,1120.04909489066
125,50,1,409.716294361088,222.422097219668,657.636335545125
125,60,0,435.717485447167,211.084590140543,712.627582343856
125,60,1,221.887377350379,104.644169081728,395.599376874505
125,70,0,247.109574105366,101.774756839194,462.727039134005
125,70,1,139.48617996245,59.3519958378862,274.883036902206
125,80,0,256.572047428786,81.0555560532018,534.398230395377
125,80,1,144.553901466997,46.4119007696652,316.72000867865
175,20,1,1010.92427907385,614.384048587312,1407.13705511995
175,30,0,1671.11898213556,1436.13476870051,1839.67932136853
175,30,1,1094.08464678457,786.652599786532,1400.86631422694
175,40,0,1649.86516949539,1445.85726547089,1807.74327515536
175,40,1,1046.74711590963,722.444096634282,1388.57066574534
175,50,0,1185.51803551523,863.696945025876,1491.52655489828
175,50,1,754.437225256808,448.538648470601,1106.98565243079
175,60,0,759.324902602372,421.964631854818,1118.00836705624
175,60,1,447.168404289194,220.656392686802,734.892421883502
175,70,1,300.177617231158,129.529389291345,548.136473010137
175,80,0,501.263773022176,192.121874091096,918.600532450605
200,20,0,1788.2516306017,1528.67472400365,1939.19238471903
200,30,0,1848.41663608363,1671.17749350891,1956.47812316666
200,30,1,1451.87437580262,1073.12430105137,1755.78327490887
200,40,0,1839.88204660897,1681.99470585525,1944.53772914331
200,40,1,1391.41748127779,1053.20415231483,1684.29786556618
200,50,0,1522.36431563387,1164.57907872198,1797.34271967408
200,50,1,1118.15969144252,733.506736481597,1510.06475924814
200,60,0,1138.80265150515,710.909020213122,1540.69996190088
200,60,1,805.320714168432,428.695738847045,1247.82442088026
200,70,1,597.026033347832,272.846105763518,1016.84535210743
200,80,1,607.317879718426,251.317673470672,1080.01195065237
